team_id,fifa_version,fifa_update,league_id,league_level,nationality_id,overall,attack,midfield,defence,coach_id,rival_team,international_prestige,domestic_prestige,transfer_budget_eur,club_worth_eur,starting_xi_average_age,whole_team_average_age,captain,short_free_kick,long_free_kick,left_short_free_kick,right_short_free_kick,penalties,left_corner,right_corner,def_team_width,def_team_depth,build_up_play_speed,build_up_play_dribbling,build_up_play_passing,chance_creation_passing,chance_creation_crossing,chance_creation_shooting
1,15,59,13,1.0,14,81,83,81,80,307.0,18,18,18.0,35000000.0,,27.45,24.29,186146.0,184941.0,184941.0,184941.0,184941.0,184941.0,189461.0,198784.0,,,59.0,57.0,35.0,28.0,55.0,63.0
1,16,58,13,1.0,14,82,84,81,81,307.0,18,18,19.0,70000000.0,,27.73,24.3,165229.0,176635.0,176635.0,176635.0,176635.0,184941.0,186561.0,176635.0,,,59.0,52.0,37.0,40.0,44.0,46.0
1,17,91,13,1.0,14,83,85,84,82,307.0,18,9,9.0,90700000.0,-2147483648.0,27.36,24.64,165229.0,184941.0,176635.0,184941.0,184941.0,184941.0,176635.0,176635.0,,,35.0,52.0,37.0,40.0,44.0,38.0
1,18,84,13,1.0,14,83,86,83,81,307.0,18,9,9.0,90700000.0,-2147483648.0,27.91,25.76,165229.0,184941.0,176635.0,184941.0,184941.0,193301.0,184941.0,176635.0,,,29.0,47.0,30.0,33.0,53.0,41.0
1,19,68,13,1.0,14,82,86,83,81,307.0,18,8,8.0,92500000.0,-2147483648.0,28.0,25.03,199503.0,199503.0,223959.0,223959.0,199503.0,193301.0,223959.0,199503.0,5.0,7.0,36.0,51.0,30.0,25.0,42.0,48.0
1,20,61,13,1.0,14,81,87,83,80,307.0,18,7,7.0,74000000.0,2000000000.0,27.73,23.85,199503.0,226110.0,226110.0,226110.0,226110.0,188567.0,226110.0,226110.0,5.0,6.0,,,,,,
1,21,64,13,1.0,14,81,87,81,79,307.0,18,7,7.0,80000000.0,1800000000.0,26.91,24.94,199503.0,226110.0,246669.0,199503.0,246669.0,193301.0,246669.0,246669.0,5.0,4.0,,,,,,
1,22,64,13,1.0,14,80,83,81,79,307.0,18,7,7.0,77500000.0,-2147483648.0,26.64,24.09,222665.0,226110.0,222665.0,222665.0,226110.0,246669.0,246669.0,246669.0,50.0,40.0,,,,,,
1,23,9,13,1.0,14,80,84,82,79,307.0,18,7,7.0,,2000000000.0,24.09,23.88,222665.0,222665.0,222665.0,222665.0,222665.0,246669.0,251566.0,246669.0,51.0,61.0,,,,,,
2,15,59,13,1.0,14,75,80,75,74,50.0,88,15,15.0,11500000.0,,27.0,25.24,189280.0,210930.0,210930.0,210930.0,210930.0,194017.0,210930.0,210930.0,,,66.0,37.0,72.0,63.0,48.0,56.0
